,team_historical_code,team_code_2023,archive_url,team_name,wins,points,pcs_ranking
127,tudor-pro-cycling-team-2022,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2022,tudor pro cycling team,11,229,57
128,swiss-racing-academy-2021,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/swiss-racing-academy-2021,swiss racing academy,3,88,90
129,swiss-racing-academy-2020,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/swiss-racing-academy-2020,swiss racing academy,1,28,121
130,swiss-racing-academy-2019,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/swiss-racing-academy-2019,swiss racing academy,3,161,104
131,uno-x-pro-cycling-team-2022,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2022,uno-x pro cycling team,9,2572,22
132,uno-x-pro-cycling-team-2021,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2021,uno-x pro cycling team,12,2201,24
133,uno-x-pro-cycling-team-2020,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2020,uno-x pro cycling team,14,621,31
134,uno-x-norwegian-development-team-2019,uno-x-pro-cycling-team-2023,https://www.procyclingstats.com/team/uno-x-norwegian-development-team-2019,uno-x norwegian development team,5,444,67
135,team-qhubeka-nexthash-2021,q365-pro-cycing-team,https://www.procyclingstats.com/team/team-qhubeka-nexthash-2021,team qhubeka nexthash,5,3874,21
136,team-qhubeka-assos-2021,q365-pro-cycing-team,https://www.procyclingstats.com/team/team-qhubeka-assos-2021,team qhubeka assos,5,3874,21
137,ntt-pro-cycling-2020,q365-pro-cycing-team,https://www.procyclingstats.com/team/ntt-pro-cycling-2020,ntt pro cycling,8,3075,21
138,team-dimension-data-2019,q365-pro-cycing-team,https://www.procyclingstats.com/team/team-dimension-data-2019,team dimension data,7,4193,23
