,rider_code,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb
643,robbe-ghys,11,0,0,0,5.0,59.142857142857146,0.0,0.0,0.0,0.45454545454545453
644,lindsay-de-vylder,20,0,0,0,20.0,64.375,0.0,0.0,0.0,1.0
645,mathieu-van-der-poel,61,12,19,27,3013.0,37.625,0.19672131147540983,0.3114754098360656,0.4426229508196721,49.39344262295082
646,lasse-norman-leth,12,0,0,1,24.0,78.625,0.0,0.0,0.08333333333333333,2.0
647,jimmy-janssens,66,0,0,2,99.0,88.0,0.0,0.0,0.030303030303030304,1.5
648,august-jensen,20,0,0,1,39.0,66.76470588235294,0.0,0.0,0.05,1.95
649,dimitri-peyskens,38,0,0,0,42.0,49.15,0.0,0.0,0.0,1.105263157894737
650,adam-de-vos,15,0,0,0,27.0,53.09090909090909,0.0,0.0,0.0,1.8
651,aaron-van-poucke,40,0,0,0,73.0,58.93103448275862,0.0,0.0,0.0,1.825
652,davide-gabburo,87,0,1,3,253.0,66.35064935064935,0.0,0.011494252873563218,0.034482758620689655,2.9080459770114944
653,etienne-van-empel,19,0,0,1,13.0,83.6875,0.0,0.0,0.05263157894736842,0.6842105263157895
654,lorenzo-fortunato,62,1,1,3,208.0,35.916666666666664,0.016129032258064516,0.016129032258064516,0.04838709677419355,3.3548387096774195
655,edoardo-zambanini,112,0,1,2,96.0,65.77551020408163,0.0,0.008928571428571428,0.017857142857142856,0.8571428571428571
656,alexis-guerin,15,0,0,0,15.0,44.92307692307692,0.0,0.0,0.0,1.0
657,charlesetienne-chretien,10,0,0,0,5.0,87.83333333333333,0.0,0.0,0.0,0.5
