,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
728,44,111,+20:50,167,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,0:310:31,tour-down-under/2023/stage-4,,,,,
729,45,34,+5:03,124,,ROMEO IvánMovistar Team,19,Movistar Team,,,,",,0:31",tour-down-under/2023/stage-4,,,,,
730,46,43,+5:26,165,,RUTSCH JonasEF Education-EasyPost,24,EF Education-EasyPost,,,2″,",,0:312″",tour-down-under/2023/stage-4,,,,,
731,47,90,+14:48,56,,RENARD AlexisCofidis,23,Cofidis,,,,0:380:38,tour-down-under/2023/stage-4,,,,,
732,48,53,+7:05,14,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,0:38",tour-down-under/2023/stage-4,,,,,
733,49,76,+10:57,97,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,",,0:38",tour-down-under/2023/stage-4,,,,,
734,50,60,+7:59,16,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,,,,",,0:38",tour-down-under/2023/stage-4,,,,,
735,51,68,+9:13,85,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,0:420:42,tour-down-under/2023/stage-4,,,,,
736,52,83,+12:45,137,,TUSVELD MartijnTeam DSM,29,Team DSM,,,,",,0:42",tour-down-under/2023/stage-4,,,,,
737,53,71,+9:54,5,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,,,",,0:42",tour-down-under/2023/stage-4,,,,,
738,54,85,+13:52,66,,STEIMLE JannikSoudal - Quick Step,26,Soudal - Quick Step,,,,1:051:05,tour-down-under/2023/stage-4,,,,,
739,55,66,+9:01,67,,SVRČEK MartinSoudal - Quick Step,19,Soudal - Quick Step,,,,",,1:05",tour-down-under/2023/stage-4,,,,,
740,56,98,+16:24,183,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,,,,1:331:33,tour-down-under/2023/stage-4,,,,,
741,57,84,+13:18,91,,THOMAS GeraintINEOS Grenadiers,36,INEOS Grenadiers,,,,",,1:33",tour-down-under/2023/stage-4,,,,,
742,58,69,+9:13,164,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,,,,",,1:33",tour-down-under/2023/stage-4,,,,,
743,59,59,+7:53,146,,VINK MichaelUAE Team Emirates,31,UAE Team Emirates,,,,1:361:36,tour-down-under/2023/stage-4,,,,,
744,60,80,+11:47,144,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,,,,",,1:36",tour-down-under/2023/stage-4,,,,,
745,61,115,+23:18,105,,VAN DER HOORN TacoIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,1:421:42,tour-down-under/2023/stage-4,,,,,
746,62,99,+17:04,192,,DRIZNERS JarradUniSA-Australia,23,UniSA-Australia,,,,",,1:42",tour-down-under/2023/stage-4,,,,,
747,63,110,+20:29,3,,DURBRIDGE LukeTeam Jayco AlUla,31,Team Jayco AlUla,,,,2:002:00,tour-down-under/2023/stage-4,,,,,
748,64,32,+4:46,95,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,,,,2:022:02,tour-down-under/2023/stage-4,,,,,
749,65,100,+17:56,34,,GRADEK KamilBahrain - Victorious,32,Bahrain - Victorious,,,2″,",,2:022″",tour-down-under/2023/stage-4,,,,,
750,66,65,+8:58,37,,SÜTTERLIN JashaBahrain - Victorious,30,Bahrain - Victorious,,,,4:144:14,tour-down-under/2023/stage-4,,,,,
751,67,36,+5:15,176,,SCHACHMANN MaximilianBORA - hansgrohe,29,BORA - hansgrohe,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
752,68,41,+5:22,32,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
753,69,38,+5:16,63,,DEVENYNS DriesSoudal - Quick Step,39,Soudal - Quick Step,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
754,70,42,+5:25,187,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
755,71,81,+12:15,116,,VAN DIJKE TimJumbo-Visma,22,Jumbo-Visma,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
756,72,45,+5:31,21,,SÁNCHEZ Luis LeónAstana Qazaqstan Team,39,Astana Qazaqstan Team,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
757,73,39,+5:18,55,,LAFAY VictorCofidis,27,Cofidis,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
758,74,87,+14:30,123,,JACOBS JohanMovistar Team,25,Movistar Team,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
759,75,46,+5:32,131,,HAMILTON ChrisTeam DSM,27,Team DSM,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
760,76,112,+21:13,53,,CIMOLAI DavideCofidis,33,Cofidis,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
761,77,49,+5:59,82,,SCOTSON MilesGroupama - FDJ,29,Groupama - FDJ,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
762,78,73,+10:25,62,,VAN TRICHT StanSoudal - Quick Step,23,Soudal - Quick Step,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
763,79,117,+24:38,181,,FROOME ChrisIsrael - Premier Tech,37,Israel - Premier Tech,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
764,80,62,+8:42,35,,PERNSTEINER HermannBahrain - Victorious,32,Bahrain - Victorious,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
765,81,50,+6:07,93,,HAYTER LeoINEOS Grenadiers,21,INEOS Grenadiers,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
766,82,86,+14:30,24,,FELLINE FabioAstana Qazaqstan Team,32,Astana Qazaqstan Team,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
767,83,95,+16:06,117,,VAN EMDEN JosJumbo-Visma,37,Jumbo-Visma,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
768,84,77,+11:13,106,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
769,85,47,+5:48,44,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
770,86,96,+16:11,25,,GRUZDEV DmitriyAstana Qazaqstan Team,36,Astana Qazaqstan Team,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
771,87,78,+11:31,102,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
772,88,82,+12:41,113,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
773,89,51,+6:53,52,,BIDARD FrançoisCofidis,30,Cofidis,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
774,90,74,+10:43,172,,HALLER MarcoBORA - hansgrohe,31,BORA - hansgrohe,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
775,91,91,+14:51,33,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
776,92,97,+16:23,154,,HOFSTETTER HugoTeam Arkéa Samsic,28,Team Arkéa Samsic,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
777,93,40,+5:21,41,,GALLOPIN TonyTrek - Segafredo,34,Trek - Segafredo,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
778,94,55,+7:21,4,,HAMILTON LucasTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
779,95,88,+14:39,7,,STEWART CampbellTeam Jayco AlUla,24,Team Jayco AlUla,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
780,96,118,+24:53,166,,SCULLY TomEF Education-EasyPost,33,EF Education-EasyPost,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
781,97,72,+10:25,74,,GAZE SamuelAlpecin-Deceuninck,27,Alpecin-Deceuninck,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
782,98,37,+5:16,71,,GROVES KadenAlpecin-Deceuninck,24,Alpecin-Deceuninck,,,,",,4:14",tour-down-under/2023/stage-4,,,,,
783,99,54,+7:19,111,,DENNIS RohanJumbo-Visma,32,Jumbo-Visma,,,,5:545:54,tour-down-under/2023/stage-4,,,,,
784,100,94,+15:44,162,,HONORÉ Mikkel FrølichEF Education-EasyPost,26,EF Education-EasyPost,,,,6:026:02,tour-down-under/2023/stage-4,,,,,
785,101,93,+15:24,182,,IMPEY DarylIsrael - Premier Tech,38,Israel - Premier Tech,,,3″,",,6:023″",tour-down-under/2023/stage-4,,,,,
786,102,92,+14:52,156,,OWSIAN ŁukaszTeam Arkéa Samsic,32,Team Arkéa Samsic,,,,",,6:02",tour-down-under/2023/stage-4,,,,,
787,103,67,+9:04,132,,DINHAM MatthewTeam DSM,22,Team DSM,,,,",,6:02",tour-down-under/2023/stage-4,,,,,
788,104,109,+20:24,125,,SAMITIER SergioMovistar Team,27,Movistar Team,,,,",,6:02",tour-down-under/2023/stage-4,,,,,
789,105,113,+21:49,75,,LEYSEN SenneAlpecin-Deceuninck,26,Alpecin-Deceuninck,,,,",,6:02",tour-down-under/2023/stage-4,,,,,
790,106,56,+7:24,81,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,6:02",tour-down-under/2023/stage-4,,,,,
791,107,101,+18:14,76,,RIESEBEEK OscarAlpecin-Deceuninck,30,Alpecin-Deceuninck,,,,6:576:57,tour-down-under/2023/stage-4,,,,,
792,108,114,+22:19,72,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,9:079:07,tour-down-under/2023/stage-4,,,,,
793,109,103,+18:50,152,,LE BERRE MathisTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,9:07",tour-down-under/2023/stage-4,,,,,
794,110,102,+18:28,174,,LÜHRS Luis-JoeBORA - hansgrohe,20,BORA - hansgrohe,,,,9:279:27,tour-down-under/2023/stage-4,,,,,
795,111,75,+10:56,73,,STANNARD RobertAlpecin-Deceuninck,24,Alpecin-Deceuninck,,,,9:339:33,tour-down-under/2023/stage-4,,,,,
796,112,79,+11:35,77,,GOGL MichaelAlpecin-Deceuninck,29,Alpecin-Deceuninck,,,,9:459:45,tour-down-under/2023/stage-4,,,,,
797,113,107,+20:10,197,,WALSH LiamUniSA-Australia,21,UniSA-Australia,,,,9:599:59,tour-down-under/2023/stage-4,,,,,
798,114,127,+34:34,36,,SCOTT CameronBahrain - Victorious,25,Bahrain - Victorious,,,,12:4212:42,tour-down-under/2023/stage-4,,,,,
799,115,124,+30:36,57,,WOOD HarrisonCofidis,22,Cofidis,,,,15:5115:51,tour-down-under/2023/stage-4,,,,,
800,116,116,+23:38,134,,COMBAUD RomainTeam DSM,31,Team DSM,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
801,117,119,+26:14,54,,CARVALHO AndreCofidis,25,Cofidis,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
802,118,105,+19:43,83,,GERMANI LorenzoGroupama - FDJ,20,Groupama - FDJ,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
803,119,106,+19:58,147,,FISHER-BLACK FinnUAE Team Emirates,21,UAE Team Emirates,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
804,120,125,+31:43,195,,MARRIAGE ZacUniSA-Australia,19,UniSA-Australia,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
805,121,104,+19:23,157,,VERRE AlessandroTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
806,122,121,+27:52,22,,BOARO ManueleAstana Qazaqstan Team,35,Astana Qazaqstan Team,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
807,123,120,+26:14,135,,NABERMAN TimTeam DSM,23,Team DSM,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
808,124,126,+31:58,104,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
809,125,129,+36:07,23,,BASSO LeonardoAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
810,126,128,+36:01,26,,LAAS MartinAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
811,127,108,+20:19,151,,COSTIOU EwenTeam Arkéa Samsic,20,Team Arkéa Samsic,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
812,128,122,+30:21,185,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
813,129,123,+30:26,173,,ARCHBOLD ShaneBORA - hansgrohe,33,BORA - hansgrohe,,,,",,15:51",tour-down-under/2023/stage-4,,,,,
814,DNF,,,42,,BARONCINI FilippoTrek - Segafredo,22,Trek - Segafredo,,,,-,tour-down-under/2023/stage-4,,,,,
815,1,134,+28:48,195,,MOLANO Juan SebastiánUAE Team Emirates,28,UAE Team Emirates,40,50,10″,3:50:0110″,uae-tour/2023/stage-4,,,,,
816,2,117,+24:15,125,,KOOIJ OlavJumbo-Visma,21,Jumbo-Visma,25,30,6″,",,0:006″",uae-tour/2023/stage-4,,,,,
817,3,80,+18:21,157,,WELSFORD SamTeam DSM,27,Team DSM,20,18,4″,",,0:004″",uae-tour/2023/stage-4,,,,,
818,4,132,+27:28,181,,DE KLEIJN ArvidTudor Pro Cycling Team,28,Tudor Pro Cycling Team,15,13,,",,0:00",uae-tour/2023/stage-4,,,,,
819,5,90,+19:11,161,,GROENEWEGEN DylanTeam Jayco AlUla,29,Team Jayco AlUla,10,10,,",,0:00",uae-tour/2023/stage-4,,,,,
820,6,92,+19:21,56,,VAN POPPEL DannyBORA - hansgrohe,29,BORA - hansgrohe,8,7,,",,0:00",uae-tour/2023/stage-4,,,,,
821,7,53,+9:40,66,,VAN DEN BERG MarijnEF Education-EasyPost,23,EF Education-EasyPost,6,4,,",,0:00",uae-tour/2023/stage-4,,,,,
822,8,101,+20:14,51,,BENNETT SamBORA - hansgrohe,32,BORA - hansgrohe,3,3,,",,0:00",uae-tour/2023/stage-4,,,,,
823,9,85,+18:43,3,,MERLIER TimSoudal - Quick Step,30,Soudal - Quick Step,2,2,,",,0:00",uae-tour/2023/stage-4,,,,,
824,10,103,+20:45,172,,ABERASTURI JonTrek - Segafredo,33,Trek - Segafredo,1,1,,",,0:00",uae-tour/2023/stage-4,,,,,
825,11,113,+22:55,141,,GAVIRIA FernandoMovistar Team,28,Movistar Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
826,12,121,+25:19,47,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,,,,",,0:00",uae-tour/2023/stage-4,,,,,
827,13,98,+19:52,71,,COLNAGHI LucaGreen Project-Bardiani CSF-Faizanè,24,Green Project-Bardiani CSF-Faizanè,,,,",,0:00",uae-tour/2023/stage-4,,,,,
828,14,122,+25:25,112,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:00",uae-tour/2023/stage-4,,,,,
829,15,127,+26:16,26,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,0:00",uae-tour/2023/stage-4,,,,,
830,16,120,+25:17,81,,DÉMARE ArnaudGroupama - FDJ,31,Groupama - FDJ,,,,",,0:00",uae-tour/2023/stage-4,,,,,
831,17,130,+26:28,76,,ZANONCELLO EnricoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,,",,0:00",uae-tour/2023/stage-4,,,,,
832,18,82,+18:28,31,,CAVENDISH MarkAstana Qazaqstan Team,37,Astana Qazaqstan Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
833,19,119,+24:54,91,,VIVIANI EliaINEOS Grenadiers,34,INEOS Grenadiers,,,,",,0:00",uae-tour/2023/stage-4,,,,,
834,20,93,+19:31,106,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,,",,0:00",uae-tour/2023/stage-4,,,,,
835,21,97,+19:50,131,,EWAN CalebLotto Dstny,28,Lotto Dstny,,,,",,0:00",uae-tour/2023/stage-4,,,,,
836,22,110,+21:42,67,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,",,0:00",uae-tour/2023/stage-4,,,,,
837,23,76,+17:43,32,,BOL CeesAstana Qazaqstan Team,27,Astana Qazaqstan Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
838,24,14,+1:17,34,,LUTSENKO AlexeyAstana Qazaqstan Team,30,Astana Qazaqstan Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
839,25,108,+21:17,176,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,,,,",,0:00",uae-tour/2023/stage-4,,,,,
840,26,66,+12:23,42,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,,,,",,0:00",uae-tour/2023/stage-4,,,,,
841,27,78,+18:01,164,,MEZGEC LukaTeam Jayco AlUla,34,Team Jayco AlUla,,,,",,0:00",uae-tour/2023/stage-4,,,,,
842,28,88,+19:03,21,,SINKELDAM RamonAlpecin-Deceuninck,34,Alpecin-Deceuninck,,,,",,0:00",uae-tour/2023/stage-4,,,,,
843,29,114,+23:13,84,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,",,0:00",uae-tour/2023/stage-4,,,,,
844,30,11,+1:15,57,,ZWIEHOFF BenBORA - hansgrohe,29,BORA - hansgrohe,,,,",,0:00",uae-tour/2023/stage-4,,,,,
845,31,118,+24:27,6,,VAN LERBERGHE BertSoudal - Quick Step,30,Soudal - Quick Step,,,,",,0:00",uae-tour/2023/stage-4,,,,,
846,32,24,+1:33,13,,BERTHET ClémentAG2R Citroën Team,25,AG2R Citroën Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
847,33,1,+0:00,1,,EVENEPOEL RemcoSoudal - Quick Step,23,Soudal - Quick Step,,,,",,0:00",uae-tour/2023/stage-4,,,,,
848,34,16,+1:19,171,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,,,,",,0:00",uae-tour/2023/stage-4,,,,,
849,35,133,+27:31,87,,WELTEN BramGroupama - FDJ,25,Groupama - FDJ,,,,",,0:00",uae-tour/2023/stage-4,,,,,
850,36,36,+2:42,137,,SEPÚLVEDA EduardoLotto Dstny,31,Lotto Dstny,,,,",,0:00",uae-tour/2023/stage-4,,,,,
851,37,6,+1:10,156,,VANHOUCKE HarmTeam DSM,25,Team DSM,,,,",,0:00",uae-tour/2023/stage-4,,,,,
852,38,96,+19:49,134,,GUARNIERI JacopoLotto Dstny,35,Lotto Dstny,,,,",,0:00",uae-tour/2023/stage-4,,,,,
853,39,102,+20:42,115,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,,,",,0:00",uae-tour/2023/stage-4,,,,,
854,40,51,+8:44,94,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,",,0:00",uae-tour/2023/stage-4,,,,,
855,41,115,+23:34,143,,JACOBS JohanMovistar Team,25,Movistar Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
856,42,128,+26:26,74,,MAGLI FilippoGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,,,",,0:00",uae-tour/2023/stage-4,,,,,
857,43,50,+7:50,96,,TULETT BenINEOS Grenadiers,21,INEOS Grenadiers,,,,",,0:00",uae-tour/2023/stage-4,,,,,
858,44,79,+18:18,92,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,,,",,0:00",uae-tour/2023/stage-4,,,,,
859,45,2,+0:07,93,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,,,,",,0:00",uae-tour/2023/stage-4,,,,,
860,46,91,+19:11,166,,REINDERS ElmarTeam Jayco AlUla,30,Team Jayco AlUla,,,,",,0:00",uae-tour/2023/stage-4,,,,,
861,47,75,+17:18,173,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,,",,0:00",uae-tour/2023/stage-4,,,,,
862,48,10,+1:12,191,,YATES AdamUAE Team Emirates,30,UAE Team Emirates,,,,",,0:00",uae-tour/2023/stage-4,,,,,
863,49,17,+1:21,121,,KUSS SeppJumbo-Visma,28,Jumbo-Visma,,,,",,0:00",uae-tour/2023/stage-4,,,,,
864,50,55,+10:00,126,,ROOSEN TimoJumbo-Visma,30,Jumbo-Visma,,,,",,0:00",uae-tour/2023/stage-4,,,,,
865,51,9,+1:11,65,,STEINHAUSER GeorgEF Education-EasyPost,21,EF Education-EasyPost,,,,",,0:00",uae-tour/2023/stage-4,,,,,
866,52,8,+1:11,146,,RUBIO Einer AugustoMovistar Team,25,Movistar Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
867,53,84,+18:38,127,,VAN DER SANDE ToshJumbo-Visma,32,Jumbo-Visma,,,,",,0:00",uae-tour/2023/stage-4,,,,,
868,54,37,+2:46,61,,AMADOR AndreyEF Education-EasyPost,36,EF Education-EasyPost,,,,",,0:00",uae-tour/2023/stage-4,,,,,
869,55,4,+1:01,64,,DE BOD StefanEF Education-EasyPost,26,EF Education-EasyPost,,,,",,0:00",uae-tour/2023/stage-4,,,,,
870,56,33,+2:16,175,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,0:00",uae-tour/2023/stage-4,,,,,
871,57,47,+4:40,113,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:00",uae-tour/2023/stage-4,,,,,
872,58,42,+3:57,86,,THOMPSON ReubenGroupama - FDJ,22,Groupama - FDJ,,,,",,0:00",uae-tour/2023/stage-4,,,,,
873,59,60,+10:54,102,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,0:00",uae-tour/2023/stage-4,,,,,
874,60,27,+1:39,37,,TEJADA HaroldAstana Qazaqstan Team,25,Astana Qazaqstan Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
875,61,19,+1:25,101,,MEINTJES LouisIntermarché - Circus - Wanty,31,Intermarché - Circus - Wanty,,,,",,0:00",uae-tour/2023/stage-4,,,,,
876,62,13,+1:16,194,,MCNULTY BrandonUAE Team Emirates,24,UAE Team Emirates,,,,",,0:00",uae-tour/2023/stage-4,,,,,
877,63,40,+3:34,117,,WÜRTZ SCHMIDT MadsIsrael - Premier Tech,28,Israel - Premier Tech,,,,",,0:00",uae-tour/2023/stage-4,,,,,
878,64,44,+4:26,192,,BJERG MikkelUAE Team Emirates,24,UAE Team Emirates,,,,",,0:00",uae-tour/2023/stage-4,,,,,
879,65,30,+1:50,186,,VOISARD YannisTudor Pro Cycling Team,24,Tudor Pro Cycling Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
880,66,112,+22:51,44,,MIHOLJEVIĆ FranBahrain - Victorious,20,Bahrain - Victorious,,,,",,0:00",uae-tour/2023/stage-4,,,,,
881,67,28,+1:43,16,,PARET-PEINTRE ValentinAG2R Citroën Team,22,AG2R Citroën Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
882,68,35,+2:30,17,,WARBASSE LarryAG2R Citroën Team,32,AG2R Citroën Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
883,69,23,+1:32,174,,GHEBREIGZABHIER AmanuelTrek - Segafredo,28,Trek - Segafredo,,,,",,0:00",uae-tour/2023/stage-4,,,,,
884,70,39,+3:31,104,,PETILLI SimoneIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,0:00",uae-tour/2023/stage-4,,,,,
885,71,5,+1:04,45,,POELS WoutBahrain - Victorious,35,Bahrain - Victorious,,,,",,0:00",uae-tour/2023/stage-4,,,,,
886,72,54,+9:51,155,,MÄRKL NiklasTeam DSM,23,Team DSM,,,,",,0:00",uae-tour/2023/stage-4,,,,,
887,73,20,+1:25,105,,TAARAMÄE ReinIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,0:00",uae-tour/2023/stage-4,,,,,
888,74,49,+5:33,196,,SOLER MarcUAE Team Emirates,29,UAE Team Emirates,,,,",,0:00",uae-tour/2023/stage-4,,,,,
889,75,43,+4:04,72,,COVILI LucaGreen Project-Bardiani CSF-Faizanè,26,Green Project-Bardiani CSF-Faizanè,,,,",,0:00",uae-tour/2023/stage-4,,,,,
890,76,22,+1:32,116,,RICCITELLO MatthewIsrael - Premier Tech,20,Israel - Premier Tech,,,,",,0:00",uae-tour/2023/stage-4,,,,,
891,77,7,+1:10,151,,LEKNESSUND AndreasTeam DSM,23,Team DSM,,,,",,0:00",uae-tour/2023/stage-4,,,,,
892,78,12,+1:15,53,,BUCHMANN EmanuelBORA - hansgrohe,30,BORA - hansgrohe,,,,",,0:00",uae-tour/2023/stage-4,,,,,
893,79,18,+1:21,122,,GLOAG ThomasJumbo-Visma,21,Jumbo-Visma,,,,",,0:00",uae-tour/2023/stage-4,,,,,
894,80,125,+25:41,187,,ZIJLAARD MaikelTudor Pro Cycling Team,23,Tudor Pro Cycling Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
895,81,83,+18:38,55,,MULLEN RyanBORA - hansgrohe,28,BORA - hansgrohe,,,,",,0:00",uae-tour/2023/stage-4,,,,,
896,82,25,+1:33,11,,BOUCHARD GeoffreyAG2R Citroën Team,30,AG2R Citroën Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
897,83,15,+1:18,167,,SCOTSON CallumTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,0:00",uae-tour/2023/stage-4,,,,,
898,84,29,+1:48,24,,OSBORNE JasonAlpecin-Deceuninck,28,Alpecin-Deceuninck,,,,",,0:00",uae-tour/2023/stage-4,,,,,
899,85,56,+10:12,15,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
900,86,3,+0:11,41,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,,,,",,0:00",uae-tour/2023/stage-4,,,,,
901,87,26,+1:36,145,,RODRÍGUEZ ÓscarMovistar Team,27,Movistar Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
902,88,106,+21:00,144,,LAZKANO OierMovistar Team,23,Movistar Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
903,89,74,+16:14,185,,PLUIMERS RickTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
904,90,81,+18:21,43,,GOVEKAR MatevžBahrain - Victorious,22,Bahrain - Victorious,,,,",,0:00",uae-tour/2023/stage-4,,,,,
905,91,71,+13:47,193,,LAENGEN Vegard StakeUAE Team Emirates,34,UAE Team Emirates,,,,",,0:00",uae-tour/2023/stage-4,,,,,
906,92,99,+20:07,165,,QUICK BlakeTeam Jayco AlUla,22,Team Jayco AlUla,,,,",,0:00",uae-tour/2023/stage-4,,,,,
907,93,21,+1:26,85,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,0:00",uae-tour/2023/stage-4,,,,,
908,94,58,+10:35,62,,CAMARGO Diego AndrésEF Education-EasyPost,24,EF Education-EasyPost,,,,",,0:00",uae-tour/2023/stage-4,,,,,
909,95,45,+4:27,14,,HÄNNINEN JaakkoAG2R Citroën Team,25,AG2R Citroën Team,,,,",,0:00",uae-tour/2023/stage-4,,,,,
